"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/AUROC","test/MulticlassAccuracy"
"module.network.model_name: perchv2","beans_cbi","true","perchv2","[""biofoundation"",""BEANS"",""restrict"",""perchv2""]","","","0.9875128865242004","0.760221004486084"
"module.network.model_name: perchv2","beans_bats","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.9500736594200134","0.6995000243186951"
"module.network.model_name: perchv2","beans_humbugdb","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.965162456035614","0.7859063744544983"
"module.network.model_name: perchv2","beans_dogs","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.995489776134491","0.9208633303642272"
"module.network.model_name: perchv2","beans_cbi","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.9910937547683716","0.8027624487876892"
"module.network.model_name: perchv2","beans_watkins","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.9922061562538148","0.8230088353157043"
"module.network.model_name: perchv2","beans_bats","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.9438747763633728","0.6890000104904175"
"module.network.model_name: perchv2","beans_humbugdb","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.9651566743850708","0.7821409106254578"
"module.network.model_name: perchv2","beans_dogs","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.993051528930664","0.8489208817481995"
"module.network.model_name: perchv2","beans_cbi","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.99134624004364","0.8022099733352661"
"module.network.model_name: perchv2","beans_watkins","false","perchv2","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perchv2"",""rs240825""]","","","0.990829586982727","0.7994100451469421"
"module.network.model_name: birdmae","beans_bats","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.9173652529716492","0.5889999866485596"
"module.network.model_name: birdmae","beans_humbugdb","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.9672524929046632","0.7746099829673767"
"module.network.model_name: birdmae","beans_watkins","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.9752472639083862","0.752212405204773"
"module.network.model_name: birdmae","beans_cbi","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.965193212032318","0.5378453135490417"
"module.network.model_name: birdmae","beans_dogs","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.8716339468955994","0.4460431635379791"
"module.network.model_name: birdmae","beans_bats","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.9223505854606628","0.6115000247955322"
"module.network.model_name: birdmae","beans_humbugdb","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.9595452547073364","0.7686928510665894"
"module.network.model_name: birdmae","beans_dogs","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.9229723811149596","0.5251798629760742"
"module.network.model_name: birdmae","beans_bats","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9668422937393188","0.746999979019165"
"module.network.model_name: birdmae","beans_bats","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9684155583381652","0.7559999823570251"
"module.network.model_name: birdmae","beans_humbugdb","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.970417618751526","0.8171059489250183"
"module.network.model_name: birdmae","beans_humbugdb","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.975574791431427","0.8015061616897583"
"module.network.model_name: birdmae","beans_dogs","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9928205609321594","0.8848921060562134"
"module.network.model_name: birdmae","beans_dogs","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9937373995780944","0.8920863270759583"
"module.network.model_name: birdmae","beans_cbi","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9801528453826904","0.6599447727203369"
"module.network.model_name: birdmae","beans_cbi","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9796878099441528","0.6635358929634094"
"module.network.model_name: birdmae","beans_watkins","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9950169324874878","0.8790560364723206"
"module.network.model_name: birdmae","beans_watkins","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9952442646026612","0.8997049927711487"
"module.network.model_name: birdmae","beans_cbi","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.9650564789772034","0.5301104784011841"
"module.network.model_name: birdmae","beans_watkins","","birdmae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""birdmae"",""rs240825""]","","just_cls","0.970595359802246","0.7109144330024719"
"module.network.model_name: biolingual","beans_watkins","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs240825""]","","just_cls","0.9821439981460572","0.7846607565879822"
"module.network.model_name: bird_aves","beans_dogs","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""bird_aves"",""rs240825""]","","just_cls","0.7898975610733032","0.4100719392299652"
"module.network.model_name: biolingual","beans_cbi","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs240825""]","","just_cls","0.930048644542694","0.35248619318008423"
"module.network.model_name: biolingual","beans_humbugdb","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs240825""]","","just_cls","0.9222834706306458","0.7240451574325562"
"module.network.model_name: biolingual","beans_dogs","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs240825""]","","just_cls","0.9396368265151978","0.6978417038917542"
"module.network.model_name: audio_mae","beans_bats","","audio_mae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""audio_mae"",""rs240825""]","","just_cls","0.8840994834899902","0.4639999866485596"
"module.network.model_name: audio_mae","beans_humbugdb","","audio_mae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""audio_mae"",""rs240825""]","","just_cls","0.9419034719467164","0.7434104084968567"
"module.network.model_name: audio_mae","beans_dogs","","audio_mae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""audio_mae"",""rs240825""]","","just_cls","0.6356735229492188","0.2733812928199768"
"module.network.model_name: BEATs","beans_bats","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""BEATs"",""rs240825""]","","","0.9096142053604126","0.5715000033378601"
"module.network.model_name: audio_mae","beans_cbi","","audio_mae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""audio_mae"",""rs240825""]","","just_cls","0.9304906725883484","0.3624309301376343"
"module.network.model_name: audio_mae","beans_cbi","","audio_mae","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""audio_mae"",""rs240725""]","","attentive","0.9580269455909728","0.4986187815666199"
"module.network.model_name: audio_mae","beans_watkins","","audio_mae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""audio_mae"",""rs240825""]","","just_cls","0.944407284259796","0.5870206356048584"
"module.network.model_name: perch","beans_bats","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.8920519948005676","0.534500002861023"
"module.network.model_name: perch","beans_humbugdb","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9572316408157348","0.7487896680831909"
"module.network.model_name: perch","beans_dogs","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9963560104370116","0.8992805480957031"
"module.network.model_name: perch","beans_cbi","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9900464415550232","0.7983425259590149"
"module.network.model_name: perch","beans_watkins","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9832893013954164","0.7994100451469421"
"module.network.model_name: perch","beans_humbugdb","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.9555755257606506","0.748251736164093"
"module.network.model_name: perch","beans_bats","false","perch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""perch"",""rs240825""]","","","0.8875322341918945","0.5354999899864197"
