"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/MultilabelAUROC","test/cmAP5"
"module.network.model_name: perchv2","SNE","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.8371095061302185","0.3285050094127655"
"module.network.model_name: perchv2","SSW","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.9334049820899964","0.4262881875038147"
"module.network.model_name: perchv2","NBP","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.9209241271018982","0.6464914083480835"
"module.network.model_name: perchv2","HSN","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.8354105353355408","0.5163119435310364"
"module.network.model_name: perchv2","UHH","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.7534670829772949","0.24008025228977203"
"module.network.model_name: perchv2","NES","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.9142160415649414","0.364722192287445"
"module.network.model_name: perchv2","POW","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.872342586517334","0.43426528573036194"
"module.network.model_name: perchv2","PER","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.7222874164581299","0.18599727749824524"
"module.network.model_name: perchv2","SNE","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.8266685009002686","0.3207847476005554"
"module.network.model_name: perchv2","SSW","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.9335389137268066","0.42652997374534607"
"module.network.model_name: perchv2","NBP","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.9166475534439088","0.6475642919540405"
"module.network.model_name: perchv2","HSN","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.8416459560394287","0.5146719217300415"
"module.network.model_name: perchv2","UHH","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.7564861178398132","0.24181334674358368"
"module.network.model_name: perchv2","NES","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.9144283533096312","0.3614591062068939"
"module.network.model_name: perchv2","POW","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.8712114095687866","0.44523054361343384"
"module.network.model_name: perchv2","PER","false","perchv2","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""perchv2"",""rs240725""]","","","0.7229996919631958","0.18425077199935913"
"module.network.model_name: perchv2","SNE","true","perchv2","[""biofoundation"",""BirdSet"",""restrict"",""perchv2""]","","","0.8828904628753662","0.3402605354785919"
"module.network.model_name: perchv2","SSW","true","perchv2","[""biofoundation"",""BirdSet"",""restrict"",""perchv2""]","","","0.973259449005127","0.4684496819972992"
"module.network.model_name: perchv2","NBP","true","perchv2","[""biofoundation"",""BirdSet"",""restrict"",""perchv2""]","","","0.9332491159439088","0.6609449982643127"
"module.network.model_name: perchv2","HSN","true","perchv2","[""biofoundation"",""BirdSet"",""restrict"",""perchv2""]","","","0.914949893951416","0.5326170325279236"
"module.network.model_name: perchv2","UHH","true","perchv2","[""biofoundation"",""BirdSet"",""restrict"",""perchv2""]","","","0.9117180109024048","0.3797451853752136"
"module.network.model_name: perchv2","NES","true","perchv2","[""biofoundation"",""BirdSet"",""restrict"",""perchv2""]","","","0.9525565505027772","0.4026623666286469"
"module.network.model_name: perchv2","POW","true","perchv2","[""biofoundation"",""BirdSet"",""restrict"",""perchv2""]","","","0.9208685755729676","0.5376664996147156"
"module.network.model_name: perchv2","PER","true","perchv2","[""biofoundation"",""BirdSet"",""restrict"",""perchv2""]","","","0.7856429219245911","0.2319479137659073"
"module.network.model_name: birdmae","NBP","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.8214642405509949","0.4355303049087525"
"module.network.model_name: birdmae","SSW","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.8319416046142578","0.17741847038269043"
"module.network.model_name: birdmae","SNE","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.7445789575576782","0.1834428459405899"
"module.network.model_name: birdmae","SNE","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.7427117824554443","0.18180933594703672"
"module.network.model_name: birdmae","HSN","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.7353401184082031","0.1637063026428223"
"module.network.model_name: birdmae","UHH","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.7518919706344604","0.1647087037563324"
"module.network.model_name: birdmae","NBP","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.925355851650238","0.6715961694717407"
"module.network.model_name: birdmae","NES","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.866999626159668","0.20750068128108975"
"module.network.model_name: birdmae","NBP","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9179627299308776","0.6536785960197449"
"module.network.model_name: birdmae","SSW","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.832323431968689","0.17635893821716309"
"module.network.model_name: birdmae","SSW","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.9238601326942444","0.35672566294670105"
"module.network.model_name: birdmae","NBP","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.8182892203330994","0.4333844780921936"
"module.network.model_name: birdmae","HSN","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""linearprobing"",""birdmae"",""rs240725""]","","just_cls","0.7319124937057495","0.16376052796840668"
"module.network.model_name: birdmae","HSN","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8901416659355164","0.4406903088092804"
"module.network.model_name: birdmae","HSN","","birdmae","[""biofoundation"",""BirdSet"",""augmentations"",""attentive"",""birdmae"",""rs240725""]","","attentive","0.8921090364456177","0.47267964482307434"
